Majority.protein.IDs	Gene.names	quantified	Potential.contaminant	Intensity_Ctrl_acetylated_1	Intensity_Ctrl_acetylated_2	Intensity_Ctrl_acetylated_3	Intensity_GFP_Atg8_acetylated_1	Intensity_GFP_Atg8_acetylated_2	Intensity_GFP_Atg8_acetylated_3	LFQIntensity_Ctrl_acetylated_1	LFQIntensity_Ctrl_acetylated_2	LFQIntensity_Ctrl_acetylated_3	LFQIntensity_GFP_Atg8_acetylated_1	LFQIntensity_GFP_Atg8_acetylated_2	LFQIntensity_GFP_Atg8_acetylated_3	ImputedIntensity_Ctrl_acetylated_1	ImputedIntensity_Ctrl_acetylated_2	ImputedIntensity_Ctrl_acetylated_3	ImputedIntensity_GFP_Atg8_acetylated_1	ImputedIntensity_GFP_Atg8_acetylated_2	ImputedIntensity_GFP_Atg8_acetylated_3	iBAQ_Ctrl_acetylated_1	iBAQ_Ctrl_acetylated_2	iBAQ_Ctrl_acetylated_3	iBAQ_GFP_Atg8_acetylated_1	iBAQ_GFP_Atg8_acetylated_2	iBAQ_GFP_Atg8_acetylated_3	razorUniqueCount_Ctrl_acetylated_1	razorUniqueCount_Ctrl_acetylated_2	razorUniqueCount_Ctrl_acetylated_3	razorUniqueCount_GFP_Atg8_acetylated_1	razorUniqueCount_GFP_Atg8_acetylated_2	razorUniqueCount_GFP_Atg8_acetylated_3	AveExpr_GFP_Atg8_acetylated__vs__Ctrl_acetylated	logFC_GFP_Atg8_acetylated__vs__Ctrl_acetylated	P.Value_GFP_Atg8_acetylated__vs__Ctrl_acetylated	adj.P.Val_GFP_Atg8_acetylated__vs__Ctrl_acetylated
Q01532	LAP3			22.3428316890867	21.86268294498731	21.908307147052053	22.062825161600795	22.60329434578746	21.62248085673416													21.191871841531597	20.333267922820827	20.388758978934053	20.60324042724752	21.10381675856389	20.12513634921033	0	1	1	1	1	1				
Q01560	NPL3			19.903021112212304	18.24005410066457	18.180243296381306	18.49373147794198	18.39884688101808	18.160506376116068													18.92893902674128	16.887516840582165	16.83757289034739	17.21102450567279	17.07624705587859	16.840039630676316	1	1	1	1	1	1				
Q01662	MAP1	+		25.093392175274918	24.608576771067977	25.259713528622086	25.144289484351194	25.6007477624836	24.32850017595216	24.896348943023938	24.406481797678456	24.890294061426655	24.944754591350943	25.338759501106722	24.058791761654824	24.445292620519314	24.55935664492496	25.214663764313396	25.080655187652983	24.86961345056207	24.365848988268812	24.394944532417323	23.531673953599	24.192677565201592	24.13721695469543	24.553782379957536	23.283667873125836	1	2	2	2	2	2	24.755905109373586	0.032268198908727896	0.9105759876349622	0.9965342103788666
Q01855	RPS15	+		27.02766224295701	26.50507555488402	26.19711010797907	26.5168451225935	27.178566573893757	26.471118406381898	25.717156521846007	25.218708373875003	24.95052759810672	25.272261714619674	25.88497499740696	25.150382743609697	25.266100199341384	25.371583221121508	25.274897300993462	25.408162310921714	25.41582894686231	25.457439970223685	27.769787191485396	26.868745328801026	26.57064673594456	26.95034518432372	27.572173782753676	26.866858694941556	5	6	7	6	6	6	25.365668658244008	0.12295016885045129	0.22922992054825286	0.9965342103788666
Q01939	RPT6	+		20.037345594470484	19.460605276050806	20.512569766811126	21.752459868460015	21.52044963359984	21.715558702183927				21.39510481760232		21.179472392002047	17.89860102871247	18.54987503226258	19.493530834157948	21.53100541390436	20.545051119680235	21.486529618616036	19.001862964335317	18.04666747130426	19.108498816113062	20.408352351526677	20.1364492637962	20.333691412080032	0	0	2	1	2	1	19.917432174555607	2.540193085689207	0.00262208845490279	0.1961322164267287
Q02326	RPL6A	+		24.650558432496425	24.43853273918196	24.472425100243317	24.316384293587852	25.709479269950805	24.650250649161567	24.338219654695173	24.109278470925403	24.23114220732144	23.919792156153996	25.453085844605365	24.395749060228518	23.88716333219055	24.262153318171908	24.555511910208182	24.055692752456036	24.983939794060714	24.702806286842506	24.878110208195054	24.28762934026921	24.331388555379046	24.23531118248831	25.588513305980964	24.531417764891465	0	2	2	0	3	2	24.407877898988318	0.3458700909295409	0.27534180121684626	0.9965342103788666
Q02725	VTC3	+		21.99382058774394	21.40140985781827	20.51077575565923	21.350590424949758	22.025437330235437	21.18582669014389	21.134560120190823	20.558956885636825	19.665310862467265	20.508494653671498	21.148989894852203	20.338139633056223	20.6835037976862	20.71183173288333	19.989680565354007	20.644395249973538	20.679843844307552	20.64519685967021	20.01973850227292	19.048872597735865	18.16810534962531	19.06788345268056	19.702837505095946	18.86535994470414	0	1	1	1	1	0	20.55907534164581	0.19480661934258947	0.4917452071266084	0.9965342103788666
Q02753	RPL21A	+		27.883243720912173	27.3384538305731	27.503638305476578	27.531847095791274	28.42025375876488	27.31388055098476	26.817209600674378	26.257733762867435	26.365983128844693	26.44663468092743	27.307472489541837	26.225577927066592	26.366153278169755	26.41060861011394	26.690352831731435	26.58253527722947	26.838326438997186	26.53263515368058	28.62536866944056	27.702123604490108	27.877174933442067	27.96534715752149	28.813860967624795	27.709620839544417	5	5	6	6	7	6	26.57010193165373	0.16212738329737064	0.29805844626975087	0.9965342103788666
Q03048	COF1	+		25.04949005412913	24.71410661451482	22.505606481142312	24.294528764817727	24.54507794516139	24.739211074278245	24.089456461900827	23.769539050654622		23.532786207462994	23.468068635719884	23.86684820474129	23.638400139396204	23.922413897901126	19.38874077942494	23.668686803765034	22.998922585175233	24.17390543135528	25.791615002657515	25.077776388431825	22.8791431091078	24.728028826547945	24.938685154021307	25.134951362837903	3	3	1	2	3	5	22.965178272836305	1.2973200011910926	0.3326841945469796	0.9965342103788666
Q03102	YML131W			22.028526466145784	21.532149096878545	20.76049093523292	21.25477692064706	21.733423980268704	21.132671358258072													21.57800633673177	20.703173792853157	19.941382485256014	20.495631904434877	20.934386111186225	20.335766568875336	1	1	0	0	0	0				
